,OTU,environmental_category,dsrab_type,supercluster,level1_taxon,level2_taxon,level3_taxon
358,hydrothermal_vent_sediment_clone_B04P014__HydrVe46,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
359,hydrothermal_vent_sediment_clone_B04P017__HydrVe47,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
360,hydrothermal_vent_sediment_clone_B04P026__HydrVe48,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
361,hydrothermal_vent_sediment_clone_B04P034__HydrVe49,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
362,Hydrothermal_vent_sediment_clone_B04P036__HydrVe50,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
363,Hydrothermal_vent_sediment_clone_B04P037__HydrVe51,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
364,hydrothermal_vent_sediment_clone_B04P044__HydrVe52,Thermophilic,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
365,hot_spring_clone_NC-9__HotSpr10,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Fimricutes, Clostridia, LA-dsrAB Firmicutes
366,hot_spring_clone_BSP-45__HotSpr11,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
367,hot_spring_clone_BSP-37__HotSpr12,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
368,hot_spring_clone_BSP-95__HotSpr13,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
369,Hot_spring_clone_BSP-102__HotSpr15,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 5
370,hot_spring_clone_BSP-104__HotSpr16,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
371,Hot_spring_clone_BLV-6__HotSpr17,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Uncultured family-level lineage 5
372,hot_spring_clone_BLV-4__HotSpr19,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfatiglans anilini lineage
373,hot_spring_clone_OP-A2.28__HotSpr21,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
374,hot_spring_clone_BLV-6__HotSpr22,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
375,hot_spring_clone_BLV-6__HotSpr23,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
376,hot_spring_clone_NP-8__HotSpr24,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Firmicutes, Clostridia, Desulfotomaculum
377,hot_spring_clone_RW-7__HotSpr25,Thermophilic,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfomicrobiaceae
378,hot_spring_clone_NC-2__HotSpr27,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
379,hot_spring_clone_NC-2__HotSpr28,Thermophilic,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Thermodesulfobium
380,Continental_margin_sediment_clone__UncSu406,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
381,Continental_margin_sediment_clone__UncSu407,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
382,Continental_margin_sediment_clone__UncSu408,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
383,Continental_margin_sediment_clone__UncSu409,Marine,Reductive bacterial type DsrAB, FACA group sensu lato, Unclassified, Unclassified, Unclassified
384,Continental_margin_sediment_clone__UncSu410,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
385,Continental_margin_sediment_clone__UncSu411,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
386,Continental_margin_sediment_clone__UncSu412,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
387,Continental_margin_sediment_clone__UncSu413,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
388,Continental_margin_sediment_clone__UncSu414,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
389,Continental_margin_sediment_clone__UncSu415,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
390,Continental_margin_sediment_clone__UncSu416,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
391,Continental_margin_sediment_clone__UncSu417,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
392,Continental_margin_sediment_clone__UncSu418,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
393,Continental_margin_sediment_clone__UncSu419,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
394,Continental_margin_sediment_clone__UncSu420,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
395,Continental_margin_sediment_clone__UncSu421,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
396,Continental_margin_sediment_clone__UncSu422,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
397,Continental_margin_sediment_clone__UncSu423,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
398,Continental_margin_sediment_clone__UncSu424,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
399,Continental_margin_sediment_clone__UncSu425,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
400,Continental_margin_sediment_clone__UncSu426,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
401,Continental_margin_sediment_clone__UncSu427,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
402,Continental_margin_sediment_clone__UncSu428,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
403,Continental_margin_sediment_clone__UncSu429,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
404,Continental_margin_sediment_clone__UncSu430,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
405,Continental_margin_sediment_clone__UncSu431,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
406,Continental_margin_sediment_clone__UncSu432,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
407,Continental_margin_sediment_clone__UncSu433,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 12
408,Continental_margin_sediment_clone__UncSu434,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
409,Continental_margin_sediment_clone__UncSu435,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
410,Continental_margin_sediment_clone__UncSu436,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
411,Continental_margin_sediment_clone__UncSu437,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
412,Continental_margin_sediment_clone__UncSu438,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
413,Continental_margin_sediment_clone__UncSu439,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
414,Continental_margin_sediment_clone__UncSu440,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
415,Continental_margin_sediment_clone__UncSu441,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
416,Continental_margin_sediment_clone__UncSu442,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
417,Continental_margin_sediment_clone__UncSu443,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
418,Continental_margin_sediment_clone__UncSu444,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
419,Continental_margin_sediment_clone__UncSu445,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
420,Continental_margin_sediment_clone__UncSu446,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
421,Continental_margin_sediment_clone__UncSu447,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
422,Continental_margin_sediment_clone__UncSu448,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
423,Continental_margin_sediment_clone__UncSu449,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
424,Continental_margin_sediment_clone__UncSu450,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
425,Continental_margin_sediment_clone__UncSu451,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
426,Continental_margin_sediment_clone__UncSu452,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
427,Continental_margin_sediment_clone__UncSu453,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
428,Continental_margin_sediment_clone__UncSu454,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
429,Continental_margin_sediment_clone__UncSu455,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
430,Continental_margin_sediment_clone__UncSu456,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
431,Continental_margin_sediment_clone__UncSu457,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
432,Continental_margin_sediment_clone__UncSu458,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
433,Continental_margin_sediment_clone__UncSu459,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
434,Continental_margin_sediment_clone__UncSu460,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
435,Continental_margin_sediment_clone__UncSu461,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
436,Continental_margin_sediment_clone__UncSu462,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
437,Continental_margin_sediment_clone__UncSu463,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
438,Continental_margin_sediment_clone__UncSu464,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
439,Continental_margin_sediment_clone__UncSu465,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
440,Continental_margin_sediment_clone__UncSu466,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
441,Continental_margin_sediment_clone__UncSu467,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
442,Continental_margin_sediment_clone__UncSu468,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
443,Continental_margin_sediment_clone__UncSu469,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
444,Continental_margin_sediment_clone__UncSu470,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
445,Continental_margin_sediment_clone__UncSu471,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
446,Continental_margin_sediment_clone__UncSu472,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
447,Continental_margin_sediment_clone__UncSu473,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
448,Continental_margin_sediment_clone__UncSu474,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
449,Continental_margin_sediment_clone__UncSu475,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
450,Continental_margin_sediment_clone__UncSu476,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
451,Continental_margin_sediment_clone__UncSu477,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
452,Continental_margin_sediment_clone__UncSu478,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
453,Continental_margin_sediment_clone__UncSu479,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
454,Continental_margin_sediment_clone__UncSu480,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
455,Continental_margin_sediment_clone__UncSu481,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
456,Continental_margin_sediment_clone__UncSu482,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
457,Continental_margin_sediment_clone__UncSu483,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
458,Continental_margin_sediment_clone__UncSu484,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
459,Continental_margin_sediment_clone__UncSu485,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
460,Continental_margin_sediment_clone__UncSu486,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
461,Continental_margin_sediment_clone__UncSu487,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
462,Continental_margin_sediment_clone__UncSu488,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
463,Continental_margin_sediment_clone__UncSu489,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
464,Continental_margin_sediment_clone__UncSu490,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
465,Continental_margin_sediment_clone__UncSu491,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
466,Continental_margin_sediment_clone__UncSu492,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
467,Continental_margin_sediment_clone__UncSu493,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
468,Continental_margin_sediment_clone__UncSu494,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
469,Continental_margin_sediment_clone__UncSu495,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
470,Continental_margin_sediment_clone__UncSu496,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
471,Continental_margin_sediment_clone__UncSu497,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
472,Continental_margin_sediment_clone__UncSu498,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
473,Continental_margin_sediment_clone__UncSu499,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
474,Continental_margin_sediment_clone__UncSu500,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
475,Continental_margin_sediment_clone__UncSu501,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
476,Continental_margin_sediment_clone__UncSu502,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
477,Continental_margin_sediment_clone__UncSu503,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
478,Continental_margin_sediment_clone__UncSu504,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
479,Continental_margin_sediment_clone__UncSu505,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
480,Continental_margin_sediment_clone__UncSu506,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
481,Continental_margin_sediment_clone__UncSu507,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
482,Continental_margin_sediment_clone__UncSu508,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
483,Continental_margin_sediment_clone__UncSu509,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
484,Continental_margin_sediment_clone__UncSu510,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
485,Continental_margin_sediment_clone__UncSu511,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
486,Continental_margin_sediment_clone__UncSu512,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
487,Continental_margin_sediment_clone__UncSu513,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
488,Continental_margin_sediment_clone__UncSu514,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
489,Continental_margin_sediment_clone__UncSu515,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
490,Continental_margin_sediment_clone__UncSu516,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
491,Continental_margin_sediment_clone__UncSu517,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
492,Continental_margin_sediment_clone__UncSu518,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
493,Continental_margin_sediment_clone__UncSu519,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
494,Continental_margin_sediment_clone__UncSu520,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
495,Continental_margin_sediment_clone__UncSu521,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
496,Continental_margin_sediment_clone__UncSu522,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
497,Continental_margin_sediment_clone__UncSu523,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
498,Continental_margin_sediment_clone__UncSu524,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
499,Continental_margin_sediment_clone__UncSu525,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
500,Continental_margin_sediment_clone__UncSu526,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
501,Continental_margin_sediment_clone__UncSu527,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
502,Continental_margin_sediment_clone__UncSu528,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
503,Continental_margin_sediment_clone__UncSu529,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
504,Continental_margin_sediment_clone__UncSu530,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
505,Continental_margin_sediment_clone__UncSu531,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
506,Continental_margin_sediment_clone__UncSu532,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
507,Continental_margin_sediment_clone__UncSu533,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
508,Continental_margin_sediment_clone__UncSu534,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
509,Continental_margin_sediment_clone__UncSu535,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
510,Continental_margin_sediment_clone__UncSu536,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
511,Continental_margin_sediment_clone__UncSu537,Marine,Reductive bacterial type DsrAB, Environmental supercluster 1, Unclassified, Unclassified, Uncultured family-level lineage 9
512,Continental_margin_sediment_clone__UncSu538,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
513,Continental_margin_sediment_clone__UncSu539,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobulbaceae
514,Continental_margin_sediment_clone__UncSu540,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
515,Continental_margin_sediment_clone__UncSu541,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
516,Continental_margin_sediment_clone__UncSu542,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
517,Continental_margin_sediment_clone__UncSu543,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
518,Continental_margin_sediment_clone__UncSu544,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
519,Continental_margin_sediment_clone__UncSu545,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
520,Continental_margin_sediment_clone__UncSu546,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
521,Continental_margin_sediment_clone__UncSu547,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
522,Continental_margin_sediment_clone__UncSu548,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
523,Continental_margin_sediment_clone__UncSu549,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
524,Continental_margin_sediment_clone__UncSu550,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
525,Continental_margin_sediment_clone__UncSu551,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
526,Continental_margin_sediment_clone__UncSu552,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
527,Continental_margin_sediment_clone__UncSu553,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
528,Continental_margin_sediment_clone__UncSu554,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
529,Continental_margin_sediment_clone__UncSu555,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
530,Continental_margin_sediment_clone__UncSu556,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
531,Continental_margin_sediment_clone__UncSu557,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
532,Continental_margin_sediment_clone__UncSu558,Marine,Reductive bacterial type DsrAB, Deltaproteobacteria supercluster, Proteobacteria, Deltaproteobacteria, Desulfobacteraceae
